actor_id,first_name,last_name
1,Leonardo,DiCaprio
2,Brad,Pitt
3,Margot,Robbie
4,Timothée,Chalamet
5,Cillian,Murphy
6,Emma,Stone
7,Robert,Downey Jr.
8,Scarlett,Johansson
9,Tom,Hardy
10,Christian,Bale
11,Natalie,Portman
12,Joaquin,Phoenix
13,Adam,Driver
14,Zendaya,Coleman
15,Ryan,Gosling
16,Anne,Hathaway
17,Chris,Hemsworth
18,Denzel,Washington
19,Meryl,Streep
20,Viola,Davis
21,Samuel L.,Jackson
22,Johnny,Depp
23,Charlize,Theron
24,Hugh,Jackman
25,Keira,Knightley
26,Daniel,Day-Lewis
27,Idris,Elba
28,Florence,Pugh
29,Chris,Evans
30,Tessa,Thompson
31,Mark,Ruffalo
32,Amy,Adams
33,Will,Smith
34,Saoirse,Ronan
35,Tom,Hanks
36,Octavia,Spencer
37,Ben,Affleck
38,Jennifer,Lawrence
39,Matt,Damon
40,Reese,Witherspoon
41,Andrew,Garfield
42,Emily,Blunt
43,Chris,Pine
44,Lupita,Nyong'o
45,Henry,Cavill
46,Brie,Larson
47,Gal,Gadot
48,Jake,Gyllenhaal
49,Angela,Bassett
50,Colin,Firth
51,Dev,Patel
52,Kristen,Stewart
53,John,Boyega
54,Mahershala,Ali
55,Carey,Mulligan
56,Benedict,Cumberbatch
57,Rooney,Mara
58,Jamie,Foxx
59,Tilda,Swinton
60,Michael B.,Jordan
