movie_id,category_id,director_id,movie_title,image,description,release_year,score
1,3,1,Inception,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8z8DwnwEIBAQYAAACAAAA4P8H4gAAAAASUVORK5CYII=,A thief with the ability to enter dreams must pull off the ultimate heist.,2010,8
2,2,2,Pulp Fiction,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8z8DwnwEIBAQYAAACAAAA4P8H4gAAAAASUVORK5CYII=,Interwoven stories of crime and redemption in Los Angeles.,1994,9
3,3,3,Jurassic Park,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mNgYGD4zwABBgYGBgYAAACo/wfiAAAAAElFTkSuQmCC,A theme park with living dinosaurs goes horribly wrong.,1993,8
4,4,4,Little Women,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mNgYGD4zwABBgYGBgYAAACo/wfiAAAAAElFTkSuQmCC,Four sisters come of age in post-Civil War America.,2019,7
5,3,5,Dune,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8/5/hPwMECBAgAAAAAP8/AOMAAAAASUVORK5CYII=,A young noble navigates a desert planet's political and ecological challenges.,2021,8
6,2,6,The Wolf of Wall Street,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8z8DwnwEIBAQYAAACAAAA4P8H4gAAAAASUVORK5CYII=,A stockbroker's rise and fall through greed and excess.,2013,8
7,5,7,Fight Club,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mNgYGD4zwABBgYGBgYAAACo/wfiAAAAAElFTkSuQmCC,An insomniac forms an underground fight club with a charismatic stranger.,1999,9
8,3,8,Gravity,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8/5/hPwMECBAgAAAAAP8/AOMAAAAASUVORK5CYII=,Two astronauts fight for survival after a space shuttle disaster.,2013,7
9,2,9,Parasite,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mP8z8DwnwEIBAQYAAACAAAA4P8H4gAAAAASUVORK5CYII=,A poor family schemes to infiltrate a wealthy household.,2019,9
10,1,10,Wonder Woman,iVBORw0KGgoAAAANSUhEUgAAAAoAAAAKCAYAAACNMs+9AAAAFUlEQVR42mNgYGD4zwABBgYGBgYAAACo/wfiAAAAAElFTkSuQmCC,An Amazonian warrior fights to save the world during WWI.,2017,7
