movie_id,actor_id
1,1
1,5
1,9
2,2
2,3
2,21
3,1
3,35
4,3
4,4
4,6
4,34
5,4
5,14
5,28
6,1
6,12
6,3
7,2
7,9
7,10
8,11
8,16
9,12
9,13
9,20
10,47
10,43
10,17
11,24
11,30
11,46
12,25
12,41
13,8
13,12
14,48
14,57
15,44
15,59
16,18
16,20
16,36
17,18
17,21
18,17
18,28
18,30
19,44
19,32
20,60
20,27
20,49
21,15
21,31
21,34
22,44
22,53
22,54
23,54
23,36
24,28
24,59
25,41
25,24
25,56
26,45
26,29
27,12
27,26
28,16
28,40
29,15
29,32
30,52
30,19
31,26
31,39
32,46
32,23
33,20
33,36
34,17
34,30
34,46
35,51
35,44
36,60
36,29
37,15
37,34
38,44
38,27
39,20
39,32
40,48
40,57
41,24
41,41
42,10
42,9
42,12
43,2
43,39
44,32
44,42
45,12
45,54
46,23
46,19
47,1
47,25
48,6
48,15
49,13
49,53
50,35
50,40
50,31
